Неотсортированная таблица

Дуглас         |США            |Калифорния     |Дуглас         |02.03.02 |1991 |
Галеви         |США            |Колорадо       |Галеви         |02.03.02 |1991 |
Гейерманс      |Ирландия       |Ирландия       |Гейерманс      |02.03.02 |1995 |
Цусимский      |Россия         |Орловская      |Цусимский      |02.03.02 |1997 |
Арден          |Норвегия       |Норвегия       |Арден          |02.03.02 |1998 |
Каменский      |Россия         |Кемеровская    |Каменский      |02.03.02 |1995 |
Дюпре          |Кот-д'Ивуар    |Кот-д'Ивуар    |Дюпре          |02.03.02 |1992 |
Маринетти      |Норвегия       |Норвегия       |Маринетти      |02.03.02 |1999 |
Смолин         |Россия         |Калужская      |Смолин         |02.03.02 |1991 |
Облонский      |Россия         |Хабаровский    |Облонский      |02.03.02 |1994 |
Каховский      |Россия         |Кемеровская    |Каховский      |02.03.02 |1990 |
Мандино        |Великобритания |Англия         |Мандино        |02.03.02 |1996 |
Невельской     |Россия         |Московская     |Невельской     |02.03.02 |1995 |
Красинский     |Россия         |Башкортостан   |Красинский     |02.03.02 |1999 |
Дрейк          |Швеция         |Швеция         |Дрейк          |02.03.02 |1995 |
Дариус         |Франция        |Аквитания      |Дариус         |02.03.02 |1997 |
Борисоглебский |Россия         |Байконур       |Борисоглебский |02.03.02 |1990 |
Жарковский     |Россия         |Татарстан      |Жарковский     |09.03.03 |2001 |
Гессен         |США            |Техас          |Гессен         |09.03.03 |1999 |
Джонс          |США            |Джорджия       |Джонс          |09.03.03 |1987 |
Лопес          |США            |Калифорния     |Лопес          |09.03.03 |1994 |
Лодж           |Финляндия      |Финляндия      |Лодж           |09.03.03 |2000 |
Аксельрод      |Франция        |Аквитания      |Аксельрод      |09.03.03 |1989 |
Марр           |Германия       |Саксония       |Марр           |09.03.03 |1992 |
Кедров         |Россия         |Иркутская      |Кедров         |09.03.03 |1992 |
Смоленский     |Россия         |Еврейская      |Смоленский     |09.03.03 |2000 |
Орловский      |Россия         |Ярославская    |Орловский      |09.03.03 |1992 |
Спасский       |Россия         |Забайкальский  |Спасский       |09.03.03 |1991 |
Марк-Мишель    |США            |Висконсин      |Марк-Мишель    |09.03.03 |1993 |
Ларбо          |ОАЭ            |ОАЭ            |Ларбо          |09.03.03 |1998 |
Преображенский |Россия         |Нижегородская  |Преображенский |09.03.03 |1991 |
Дебиоль        |США            |Флорида        |Дебиоль        |09.03.03 |1993 |
Бобровский     |Россия         |Мурманская     |Бобровский     |09.03.03 |1997 |
Тропинин       |Россия         |Камчатка       |Тропинин       |09.03.03 |1987 |
Оболенский     |Россия         |Коми           |Оболенский     |09.03.03 |1993 |
Каминский      |Россия         |Карелия        |Каминский      |09.03.03 |1995 |
Барбери        |США            |Огайо          |Барбери        |09.03.03 |1997 |
Арбатова       |Россия         |Оренбургская   |Арбатова       |09.03.03 |2001 |
Городецкий     |Россия         |Самарская      |Городецкий     |09.03.03 |2000 |
Запольский     |Россия         |Московская     |Запольский     |09.03.03 |1994 |

Отсортированная таблица

Джонс          |США            |Джорджия       |Джонс          |09.03.03 |1987 |
Тропинин       |Россия         |Камчатка       |Тропинин       |09.03.03 |1987 |
Аксельрод      |Франция        |Аквитания      |Аксельрод      |09.03.03 |1989 |
Каховский      |Россия         |Кемеровская    |Каховский      |02.03.02 |1990 |
Борисоглебский |Россия         |Байконур       |Борисоглебский |02.03.02 |1990 |
Дуглас         |США            |Калифорния     |Дуглас         |02.03.02 |1991 |
Галеви         |США            |Колорадо       |Галеви         |02.03.02 |1991 |
Смолин         |Россия         |Калужская      |Смолин         |02.03.02 |1991 |
Спасский       |Россия         |Забайкальский  |Спасский       |09.03.03 |1991 |
Преображенский |Россия         |Нижегородская  |Преображенский |09.03.03 |1991 |
Дюпре          |Кот-д'Ивуар    |Кот-д'Ивуар    |Дюпре          |02.03.02 |1992 |
Марр           |Германия       |Саксония       |Марр           |09.03.03 |1992 |
Кедров         |Россия         |Иркутская      |Кедров         |09.03.03 |1992 |
Орловский      |Россия         |Ярославская    |Орловский      |09.03.03 |1992 |
